expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
HIML13312,HIML,2013,3,Italy,Michele Barbiero,Friends Expedition Himlung 2013,TRUE,5,1,0,FALSE
HIML13313,HIML,2013,3,Italy,Giuseppe Pompili,Himlung Expedition 2013,FALSE,2,0,0,FALSE
LHOT13132,LHOT,2013,1,USA,John Griber,,TRUE,1,1,0,FALSE
MANA13334,MANA,2013,3,Japan,Hiroyuki Ishikawa,Dynafit Manaslu Expedition?,TRUE,2,2,0,FALSE
MANA13335,MANA,2013,3,Australia,Rolfe Oostra,360 Manaslu Expedition 2013,TRUE,5,3,0,TRUE
MANA13336,MANA,2013,3,Austria,Otto Harrer,,FALSE,6,0,0,FALSE
AMAD13348,AMAD,2013,3,Nepal,Sumit Joshi,Himalayan Ascent Ama Dablam Expedition 2013,FALSE,7,0,0,FALSE
HIML13102,HIML,2013,1,France,Jean Lejeune,,FALSE,2,0,0,FALSE
LHOT13133,LHOT,2013,1,S Korea,Oh Young-Hoon,,FALSE,2,0,0,FALSE
AMAD12111,AMAD,2012,1,Ireland,Andrew Latham,,TRUE,4,4,0,FALSE
BARU12312,BARU,2012,3,France,Quentin Couturier,,FALSE,3,0,0,FALSE
BARU12313,BARU,2012,3,Ukraine,Volodymyr Lanko,Ukrainian Baruntse Expedition 2012,FALSE,7,0,0,FALSE
LHOT12130,LHOT,2012,1,Poland,Tomasz Kobielski,,FALSE,1,0,0,FALSE
RATC12301,RATC,2012,3,France,Michel Deschamps,Jean Marc Capot Ratna Chuli Expedition 2012,FALSE,5,0,0,FALSE
TILI11302,TILI,2011,3,France,Thierry Vescovi,French Tilicho Expedition 2011 Autumn,FALSE,10,0,0,FALSE
AMAD11373,AMAD,2011,3,USA,Glen Young,,FALSE,2,0,0,FALSE
ANN114101,ANN1,2014,1,China,Zhang Liang,Dreamers Destinations Treks International Annapurna Exp 2014,FALSE,3,0,0,TRUE
ANN114102,ANN1,2014,1,Romania,Zsolt Torok,The Adrem Invest Romanian Annapurna Expedition 2014,FALSE,4,0,0,FALSE
ARNK14101,ARNK,2014,1,Switzerland,Diego Wellig,Swiss Arniko Chuli Expedition,TRUE,3,3,0,FALSE
BHRI14101,BHRI,2014,1,Portugal,Pedro Guedes,Porto Bhrikuti Expedition,FALSE,4,0,0,FALSE
CHOY14101,CHOY,2014,1,Argentina,Angel Ezequiel Armesto,SummitClimb Cho Oyu Expedition 2014,TRUE,9,3,0,TRUE
CHOY14102,CHOY,2014,1,USA,Willie Benegas,Benegas Brothers Cho Oyu Expedition 2014,TRUE,7,6,0,TRUE
CHOY14103,CHOY,2014,1,Japan,Yoshiharu Nakamura,Asian Trekking International Cho Oyu Expedition Spring 2014,FALSE,1,0,0,FALSE
CHOY14104,CHOY,2014,1,Mexico,Jorge Salazar,Seven Summit Treks Cho Oyu Expedition 2014,FALSE,1,0,0,FALSE
CHOY14105,CHOY,2014,1,Australia,Andrea Rigotti,Andrea on Cho Oyu,FALSE,1,0,0,FALSE
CHOY14107,CHOY,2014,1,Mexico,German Rodriguez,Mexican Cho Oyu Spring 2014,FALSE,1,0,0,FALSE
CHOY14108,CHOY,2014,1,Iran,Abdul Azim Barhmani,Iranian on Cho Oyu 2014,FALSE,2,0,0,FALSE
DHA114104,DHA1,2014,1,Peru,Victor Hugu Rimac Trejo,Peru Dhaulagiri 2014,TRUE,1,1,0,FALSE
DHA114105,DHA1,2014,1,Romania,Alex Gavan,Seven Summit Treks Dhaulagiri Expedition 2014,FALSE,1,0,0,FALSE
DHA114106,DHA1,2014,1,Switzerland,Fiorenzo Dado,Intereg Dhaulagiri I Expedition 2014,FALSE,2,0,0,FALSE
DHA114107,DHA1,2014,1,China,Luo Jing,Chinese Dhaulagiri I Expedition,TRUE,2,2,0,TRUE
EVER14119,EVER,2014,1,USA,Dan Mazur,SummitClimb Everest Expedition 2014,FALSE,10,0,0,FALSE
EVER14120,EVER,2014,1,Germany,Ralf Dujmovits,Everest 2014,FALSE,1,0,0,FALSE
EVER14122,EVER,2014,1,Malta,Gregory Attard,Malta Everest 2014,TRUE,4,4,0,TRUE
EVER14130,EVER,2014,1,Australia,Andrew Lock,8000 Summit Expedition 2014,FALSE,1,0,0,FALSE
EVER14131,EVER,2014,1,UK,Melanie Southworth,Seven Summit Treks Everest Expedition 2014 (Mooch Miggins Ever 2014),FALSE,1,0,0,FALSE
EVER14142,EVER,2014,1,India,Umesh Zirpe,Giripremi Everest 2014,FALSE,1,0,0,FALSE
EVER14128,EVER,2014,1,Germany,Juergen Greher,Amical Alpin Everest Expedition 2014,FALSE,2,0,0,FALSE
EVER14129,EVER,2014,1,Switzerland,Kari Kobler,Kobler & Partner Everest Expedition 2014,TRUE,11,8,0,TRUE
EVER14125,EVER,2014,1,UK,Tim Calder,Calder Everest South Spring 2014,FALSE,2,0,0,FALSE
EVER14132,EVER,2014,1,Netherlands,Arnold Coster,Arnold Coster Expeditions Everest 2014,FALSE,6,0,0,FALSE
EVER14133,EVER,2014,1,Japan,Yachiyo Suzuki,Seven Summit Treks Everest Expedition 2014,FALSE,6,0,0,FALSE
EVER14156,EVER,2014,1,Japan,Eiko Funahashi,Japanese Everest South Expedition 2014,FALSE,1,0,0,FALSE
EVER14118,EVER,2014,1,USA,Damian Benegas,Benegas Brothers Everest Expedition 2014,FALSE,5,0,0,FALSE
EVER14103,EVER,2014,1,USA,Melissa Arnot,Arnot Everest Expedition 2014,FALSE,2,0,0,FALSE
EVER14126,EVER,2014,1,UK,Tim Mosedale,Tim Mosedale's Everest Expedition 2014,FALSE,5,0,0,FALSE
EVER14149,EVER,2014,1,Germany,David Goettler,Everest Germany Spring 2014,FALSE,1,0,0,FALSE
EVER14145,EVER,2014,1,Iran,Alireza Behpour,Everest South Iran Spring 2014,FALSE,1,0,0,FALSE
EVER14147,EVER,2014,1,USA,Chase Lochmiller,Adventure Ascents Everest 2014,FALSE,1,0,0,FALSE
EVER14148,EVER,2014,1,UK,Adrian Ballinger,Alpenglow Everest Expedition 2014,FALSE,4,0,0,FALSE
KANG14101,KANG,2014,1,Italy,Nives Meroi,Kangchenjunga 2014,TRUE,2,2,0,FALSE
KANG14103,KANG,2014,1,S Korea,Kim Mi-Gon,Dream and Challenge Kangchenjunga Expedition 2014,TRUE,3,1,0,TRUE
KANG14104,KANG,2014,1,India,Dipankar Ghosh,West Bengal Kangchenjunga Expedition 2014,TRUE,1,1,0,TRUE
LHOT14101,LHOT,2014,1,USA,Dan Mazur,SummitClimb Lhotse Expedition 2014,FALSE,11,0,0,TRUE
MAKA14102,MAKA,2014,1,Russia,Denis Savelyev,Wild Mountain Boars,FALSE,4,0,0,FALSE
MAKA14104,MAKA,2014,1,USA,Chris Warner,2014 American Makalu Expedition,TRUE,4,1,0,TRUE
MAKA14105,MAKA,2014,1,Canada,Al Hancock,Al Hancock Makalu 2014,TRUE,3,3,0,TRUE
MAKA14106,MAKA,2014,1,USA,Will Cross,Cross on Makalu,FALSE,1,0,0,TRUE
MAKA14107,MAKA,2014,1,France,Philippe Gatta,French Makalu and Lhotse,TRUE,1,1,0,TRUE
MAKA14108,MAKA,2014,1,Australia,Chris Burke,Two on Makalu,TRUE,2,2,0,TRUE
MAKA14109,MAKA,2014,1,China,Dong Hong-Juan,Seven Summit Treks Makalu Expedition 2014,FALSE,1,0,0,FALSE
MAKA14110,MAKA,2014,1,Israel,Danny Gordin,Seven Summit Treks Makalu Expedition 2014,FALSE,1,0,0,FALSE
MAKA14111,MAKA,2014,1,Germany,Markus Seelos,Oberdiessen on Makalu 2014,FALSE,1,0,0,FALSE
MAKA14112,MAKA,2014,1,India,Debasish Biswas,Seven Summit Treks Makalu Expedition 2014,TRUE,1,1,0,TRUE
MAKA14113,MAKA,2014,1,Greece,Alexandros Aravidis,Seven Summit Treks Makalu Expedition 2014,TRUE,1,1,0,TRUE
MAKA14114,MAKA,2014,1,India,Arjun Vajpai,1st Indian Civilian Expedition 2014,FALSE,2,0,0,TRUE
MAKA14115,MAKA,2014,1,India,Anand Mali,Giripremi's Makalu 2014,TRUE,2,1,0,TRUE
MAKA14116,MAKA,2014,1,France,Yannick Gagneret,Seven Summit Treks Makalu Expedition 2014,FALSE,1,0,1,TRUE
MAKA14117,MAKA,2014,1,Japan,Naoko Watanabe,Seven Summit Treks Makalu Expedition 2014 (A Japanese on Makalu),TRUE,1,1,0,TRUE
MAKA14118,MAKA,2014,1,S Korea,Chung Ei-Chul,Chung Ei-Chul Makalu Expedition 2014,FALSE,1,0,0,FALSE
